sender,receiver,usd
Sierra Leone,United Kingdom,
Sint Maarten (Dutch part),United Kingdom,
Slovakia,United Kingdom,4000000
Slovenia,United Kingdom,2000000
Solomon Islands,United Kingdom,
South Africa,United Kingdom,256000000
South Korea,United Kingdom,4000000
Spain,United Kingdom,322000000
Sri Lanka,United Kingdom,
St. Kitts and Nevis,United Kingdom,
St. Lucia,United Kingdom,
St. Vincent and the Grenadines,United Kingdom,
Sweden,United Kingdom,20000000
Switzerland,United Kingdom,41000000
Tajikistan,United Kingdom,
Tanzania,United Kingdom,16000000
Thailand,United Kingdom,72000000
Trinidad and Tobago,United Kingdom,2000000
Turkey,United Kingdom,23000000
Turks and Caicos Islands,United Kingdom,
Tuvalu,United Kingdom,
Uganda,United Kingdom,1000000
Ukraine,United Kingdom,
United Arab Emirates,United Kingdom,30000000
United States,United Kingdom,658000000
Uruguay,United Kingdom,
Uzbekistan,United Kingdom,
Vanuatu,United Kingdom,
Venezuela,United Kingdom,1000000
Vietnam,United Kingdom,1000000
Zambia,United Kingdom,
Zimbabwe,United Kingdom,13000000
United Kingdom,Nigeria,4119000000
United Kingdom,India*,3941000000
United Kingdom,France,1782000000
United Kingdom,Pakistan*,1689000000
United Kingdom,Germany,1258000000
United Kingdom,Poland,1149000000
United Kingdom,China,977000000
United Kingdom,Spain,738000000
United Kingdom,Kenya,663000000
United Kingdom,Philippines,658000000
United Kingdom,Belgium,632000000
United Kingdom,Sri Lanka,525000000
United Kingdom,Bangladesh,469000000
United Kingdom,United States,465000000
United Kingdom,Australia,446000000
United Kingdom,Italy,428000000
United Kingdom,Hungary,418000000
United Kingdom,Uganda,372000000
United Kingdom,Ireland,320000000
United Kingdom,Jamaica,318000000
United Kingdom,Ghana,298000000
United Kingdom,Lithuania,297000000
United Kingdom,Czech Republic,284000000
United Kingdom,Thailand,274000000
United Kingdom,Sweden,257000000
United Kingdom,South Africa,241000000
United Kingdom,Latvia,228000000
United Kingdom,Slovakia,223000000
United Kingdom,Portugal,213000000
United Kingdom,Japan,191000000
United Kingdom,Lebanon*,172000000
United Kingdom,Egypt,171000000
United Kingdom,Cyprus,151000000
United Kingdom,Romania,150000000
United Kingdom,Vietnam,147000000
United Kingdom,Nepal,143000000
United Kingdom,Denmark,111000000
United Kingdom,Bulgaria,95000000
United Kingdom,Canada,92000000
United Kingdom,Austria,86000000
United Kingdom,Netherlands,85000000
United Kingdom,Brazil,82000000
United Kingdom,Tanzania,77000000
United Kingdom,Mauritius,76000000
United Kingdom,Switzerland,66000000
United Kingdom,Colombia,62000000
United Kingdom,Iran,62000000
United Kingdom,Malta,57000000
United Kingdom,Morocco,57000000
United Kingdom,Israel*,55000000
United Kingdom,Malaysia,52000000
United Kingdom,Norway,51000000
United Kingdom,South Korea,51000000
United Kingdom,Hong Kong,48000000
United Kingdom,Jordan,39000000
United Kingdom,Finland,38000000
United Kingdom,Yemen,38000000
United Kingdom,Gambia,36000000
United Kingdom,Russia,36000000
United Kingdom,Saudi Arabia,35000000
United Kingdom,Ukraine,35000000
United Kingdom,Iraq,34000000
United Kingdom,Kosovo,29000000
United Kingdom,Estonia,28000000
United Kingdom,Turkey,28000000
United Kingdom,Tunisia,26000000
United Kingdom,Algeria,25000000
United Kingdom,Indonesia,25000000
United Kingdom,Croatia,24000000
United Kingdom,Mexico,24000000
United Kingdom,Barbados,22000000
United Kingdom,Ethiopia,22000000
United Kingdom,New Zealand,21000000
United Kingdom,Albania,19000000
United Kingdom,Ecuador,13000000
United Kingdom,Greece,12000000
United Kingdom,Guyana,12000000
United Kingdom,Argentina,11000000
United Kingdom,Cameroon,11000000
United Kingdom,Oman,9000000
United Kingdom,Trinidad and Tobago,9000000
United Kingdom,Bosnia-Herzegovina,8000000
United Kingdom,Zambia,8000000
United Kingdom,Afghanistan,7000000
United Kingdom,Belarus,5000000
United Kingdom,Malawi,5000000
United Kingdom,St. Lucia,5000000
United Kingdom,Dominica,4000000
United Kingdom,Sierra Leone,4000000
United Kingdom,St. Vincent and the Grenadines,4000000
United Kingdom,Syria,4000000
United Kingdom,Venezuela,4000000
United Kingdom,Burma (Myanmar),3000000
United Kingdom,Fiji,3000000
United Kingdom,Palestinian territories,3000000
United Kingdom,Angola,
United Kingdom,Chile,
United Kingdom,Democratic Republic of the Congo,
United Kingdom,Grenada,
United Kingdom,Kazakhstan,
United Kingdom,Kuwait,
United Kingdom,Mozambique,
United Kingdom,Sudan,
