Receiver,Sender,USD,Migrants From,Migrants To,Migrants
Algeria,Romania,18489.26106,Algeria,Romania,554
Algeria,Russian Federation,818343.4485,Algeria,Russian Federation,776
Algeria,Senegal,3309962.217,Algeria,Senegal,4338
Algeria,Serbia,0,Algeria,Serbia,52
Algeria,Slovakia,76349.75602,Algeria,Slovakia,125
Algeria,Slovenia,61242.65389,Algeria,Slovenia,40
Algeria,South Africa,236279.1154,Algeria,South Africa,537
Algeria,Spain,67330271.6,Algeria,Spain,61611
Algeria,Sweden,3428956.836,Algeria,Sweden,3451
Algeria,Switzerland,11884323.08,Algeria,Switzerland,10136
Algeria,Tajikistan,113003.0552,Algeria,Tajikistan,128
Algeria,Tunisia,12096463.41,Algeria,Tunisia,11060
Algeria,Turkey,1049503.674,Algeria,Turkey,887
Algeria,Uganda,0,Algeria,Uganda,
Algeria,United States of America,21980819.76,Algeria,United States of America,28531
Algeria,Venezuela (Bolivarian Republic of),80956.27614,Algeria,Venezuela (Bolivarian Republic of),89
American Samoa,Australia,0,American Samoa,Australia,
American Samoa,France,0,American Samoa,France,
American Samoa,Greece,0,American Samoa,Greece,
American Samoa,Mali,0,American Samoa,Mali,462
American Samoa,Russian Federation,0,American Samoa,Russian Federation,41
American Samoa,Samoa,0,American Samoa,Samoa,1307
Andorra,Argentina,0,Andorra,Argentina,1
Andorra,Australia,0,Andorra,Australia,30
Andorra,Austria,0,Andorra,Austria,3
Andorra,Belgium,0,Andorra,Belgium,42
Andorra,Bolivia (Plurinational State of),0,Andorra,Bolivia (Plurinational State of),
Andorra,Brazil,0,Andorra,Brazil,13
Andorra,Bulgaria,0,Andorra,Bulgaria,
Andorra,Denmark,0,Andorra,Denmark,5
Andorra,Estonia,0,Andorra,Estonia,1
Andorra,Finland,0,Andorra,Finland,2
Andorra,France,0,Andorra,France,1120
Andorra,Greece,0,Andorra,Greece,1
Andorra,Guinea,0,Andorra,Guinea,4
Andorra,Hungary,0,Andorra,Hungary,
Andorra,Iceland,0,Andorra,Iceland,2
Andorra,Ireland,0,Andorra,Ireland,1
Andorra,Italy,0,Andorra,Italy,44
Andorra,Latvia,0,Andorra,Latvia,
Andorra,Liechtenstein,0,Andorra,Liechtenstein,
Andorra,Luxembourg,0,Andorra,Luxembourg,38
Andorra,Mali,0,Andorra,Mali,1204
Andorra,Netherlands,0,Andorra,Netherlands,27
Andorra,Norway,0,Andorra,Norway,12
Andorra,Portugal,0,Andorra,Portugal,425
Andorra,Romania,0,Andorra,Romania,17
Andorra,Slovakia,0,Andorra,Slovakia,
Andorra,Spain,0,Andorra,Spain,7964
Andorra,Sweden,0,Andorra,Sweden,4
Andorra,Switzerland,0,Andorra,Switzerland,119
Angola,Argentina,680.3374304,Angola,Argentina,9
Angola,Australia,5557.509773,Angola,Australia,602
Angola,Austria,3468.60107,Angola,Austria,436
Angola,Belgium,40062.16636,Angola,Belgium,7095
Angola,Bolivia (Plurinational State of),28.75050796,Angola,Bolivia (Plurinational State of),6
Angola,Botswana,26364.36503,Angola,Botswana,779
Angola,Brazil,52320.64098,Angola,Brazil,8184
Angola,Bulgaria,50.17709569,Angola,Bulgaria,15
Angola,Cabo Verde,2578.635877,Angola,Cabo Verde,390
Angola,Cameroon,84.0859525,Angola,Cameroon,2976
Angola,Canada,37312.0983,Angola,Canada,3358
Angola,Congo,214363.1216,Angola,Congo,40969
Angola,Costa Rica,32.37506877,Angola,Costa Rica,3
Angola,Cuba,852.1995983,Angola,Cuba,30
Angola,Democratic Republic of the Congo,1019969.611,Angola,Democratic Republic of the Congo,177028
Angola,Denmark,1623.992707,Angola,Denmark,169
Angola,Ecuador,490.3607359,Angola,Ecuador,43
Angola,Egypt,298.9713548,Angola,Egypt,28
Angola,Eritrea,2410.463972,Angola,Eritrea,301
Angola,Estonia,27.27166727,Angola,Estonia,3
Angola,Finland,4370.257971,Angola,Finland,441
Angola,France,177897.9406,Angola,France,24350
Angola,Gabon,8625.366949,Angola,Gabon,1111
Angola,Germany,0,Angola,Germany,1338
Angola,Greece,0,Angola,Greece,11
Angola,Guinea,0,Angola,Guinea,109
Angola,Hungary,761.997228,Angola,Hungary,116
Angola,Iceland,390.7657509,Angola,Iceland,50
Angola,Ireland,11156.63089,Angola,Ireland,548
Angola,Italy,17824.66639,Angola,Italy,1917
Angola,Latvia,0,Angola,Latvia,
Angola,Liechtenstein,0,Angola,Liechtenstein,7
Angola,Lithuania,0,Angola,Lithuania,2
Angola,Luxembourg,177.4630572,Angola,Luxembourg,1061
Angola,Mali,525.5372031,Angola,Mali,1807
Angola,Mexico,479.0710499,Angola,Mexico,57
Angola,Mozambique,0,Angola,Mozambique,39092
Angola,Namibia,133095.4809,Angola,Namibia,40105
Angola,Netherlands,3360.223925,Angola,Netherlands,4957
Angola,Norway,5083.718041,Angola,Norway,496
Angola,Peru,140.3999506,Angola,Peru,26
Angola,Philippines,568.8008552,Angola,Philippines,79
Angola,Poland,554.3256454,Angola,Poland,72
Angola,Portugal,1478988.771,Angola,Portugal,179524
Angola,Romania,8.664358315,Angola,Romania,98
Angola,Russian Federation,4265.099436,Angola,Russian Federation,509
Angola,Sao Tome and Principe,0,Angola,Sao Tome and Principe,319
Angola,Slovakia,164.8500672,Angola,Slovakia,25
Angola,Slovenia,37.29248978,Angola,Slovenia,2
Angola,South Africa,299265.8503,Angola,South Africa,47945
Angola,Spain,35514.04008,Angola,Spain,4795
Angola,Sweden,7677.184221,Angola,Sweden,812
Angola,Switzerland,73991.02581,Angola,Switzerland,6936
Angola,United Republic of Tanzania,16936.31227,Angola,United Republic of Tanzania,1115
Angola,United States of America,67919.59339,Angola,United States of America,20445
Angola,Venezuela (Bolivarian Republic of),1256.219821,Angola,Venezuela (Bolivarian Republic of),176
Angola,Zambia,310690.5873,Angola,Zambia,31424
Antigua and Barbuda,Australia,24291.66575,Antigua and Barbuda,Australia,63
Antigua and Barbuda,Austria,3993.906759,Antigua and Barbuda,Austria,8
Antigua and Barbuda,Bahamas,5724.568594,Antigua and Barbuda,Bahamas,13
Antigua and Barbuda,Barbados,158271.0535,Antigua and Barbuda,Barbados,194
Antigua and Barbuda,Belgium,0,Antigua and Barbuda,Belgium,1
Antigua and Barbuda,Bolivia (Plurinational State of),0,Antigua and Barbuda,Bolivia (Plurinational State of),
Antigua and Barbuda,Bulgaria,2594.607435,Antigua and Barbuda,Bulgaria,4
Antigua and Barbuda,Canada,1520361.471,Antigua and Barbuda,Canada,2486
Antigua and Barbuda,Curaçao,28478.91762,Antigua and Barbuda,Curaçao,62
Antigua and Barbuda,Denmark,2287.984069,Antigua and Barbuda,Denmark,3
Antigua and Barbuda,Dominica,243374.1774,Antigua and Barbuda,Dominica,451
Antigua and Barbuda,Dominican Republic,190963.1072,Antigua and Barbuda,Dominican Republic,186
Antigua and Barbuda,Egypt,12454.11569,Antigua and Barbuda,Egypt,15
Antigua and Barbuda,Estonia,537.2604157,Antigua and Barbuda,Estonia,7
Antigua and Barbuda,Finland,561.1966788,Antigua and Barbuda,Finland,1
Antigua and Barbuda,France,45894.38355,Antigua and Barbuda,France,67
Antigua and Barbuda,Greece,0,Antigua and Barbuda,Greece,29
Antigua and Barbuda,Grenada,29578.52476,Antigua and Barbuda,Grenada,39
Antigua and Barbuda,Guinea,0,Antigua and Barbuda,Guinea,4276
Antigua and Barbuda,Guyana,9859.508252,Antigua and Barbuda,Guyana,9
Antigua and Barbuda,Hungary,0,Antigua and Barbuda,Hungary,
Antigua and Barbuda,Iceland,0,Antigua and Barbuda,Iceland,
Antigua and Barbuda,Ireland,3478.560447,Antigua and Barbuda,Ireland,1
Antigua and Barbuda,Italy,23793.58978,Antigua and Barbuda,Italy,22
Antigua and Barbuda,Jamaica,119351.942,Antigua and Barbuda,Jamaica,154
Antigua and Barbuda,Latvia,0,Antigua and Barbuda,Latvia,
Antigua and Barbuda,Luxembourg,0,Antigua and Barbuda,Luxembourg,2
Antigua and Barbuda,Namibia,0,Antigua and Barbuda,Namibia,490
Antigua and Barbuda,Netherlands,19985.40058,Antigua and Barbuda,Netherlands,35
Antigua and Barbuda,Nicaragua,63827.3429,Antigua and Barbuda,Nicaragua,123
Antigua and Barbuda,Norway,1760.903424,Antigua and Barbuda,Norway,4
Antigua and Barbuda,Romania,0,Antigua and Barbuda,Romania,
Antigua and Barbuda,Saint Kitts and Nevis,112592.2647,Antigua and Barbuda,Saint Kitts and Nevis,417
Antigua and Barbuda,Saint Lucia,58638.12803,Antigua and Barbuda,Saint Lucia,85
Antigua and Barbuda,Saint Vincent and the Grenadines,39956.9545,Antigua and Barbuda,Saint Vincent and the Grenadines,56
Antigua and Barbuda,Sint Maarten (Dutch part),284831.1242,Antigua and Barbuda,Sint Maarten (Dutch part),563
Antigua and Barbuda,Sweden,4564.574923,Antigua and Barbuda,Sweden,5
Antigua and Barbuda,Switzerland,66489.86034,Antigua and Barbuda,Switzerland,67
Antigua and Barbuda,United States Virgin Islands,2954445.66,Antigua and Barbuda,United States Virgin Islands,4588
Antigua and Barbuda,United States of America,13256326.93,Antigua and Barbuda,United States of America,46037
Argentina,Andorra,512278.4811,Argentina,Andorra,734
Argentina,Australia,10688665.05,Argentina,Australia,17900
Argentina,Austria,1081686.597,Argentina,Austria,1698
Argentina,Bahamas,62363.41376,Argentina,Bahamas,117
Argentina,Belarus,0,Argentina,Belarus,99
Argentina,Belgium,0,Argentina,Belgium,2587
Argentina,Bolivia (Plurinational State of),23594173.05,Argentina,Bolivia (Plurinational State of),47601
Argentina,Brazil,19182720.44,Argentina,Brazil,36910
Argentina,Bulgaria,80752.89701,Argentina,Bulgaria,127
Argentina,Cabo Verde,2604.932162,Argentina,Cabo Verde,3
Argentina,Canada,16219926.1,Argentina,Canada,20921
Argentina,Cayman Islands,13256.07532,Argentina,Cayman Islands,12
Argentina,Chile,43313049.16,Argentina,Chile,79253
Argentina,Colombia,2028590.921,Argentina,Colombia,5719
Argentina,Costa Rica,1517372.984,Argentina,Costa Rica,1761
Argentina,Croatia,151208.856,Argentina,Croatia,186
Argentina,Cuba,112663.316,Argentina,Cuba,35
Argentina,Curaçao,14350.37998,Argentina,Curaçao,24
Argentina,Cyprus,67563.03624,Argentina,Cyprus,81
Argentina,Denmark,869896.9028,Argentina,Denmark,2361
Argentina,Dominican Republic,2378954.296,Argentina,Dominican Republic,1116
Argentina,Ecuador,5123250.329,Argentina,Ecuador,5645
Argentina,Egypt,50144.94411,Argentina,Egypt,251
Argentina,El Salvador,139363.8706,Argentina,El Salvador,218
Argentina,Estonia,8882.246532,Argentina,Estonia,54
Argentina,Finland,256876.7539,Argentina,Finland,460
Argentina,France,9241531.836,Argentina,France,14807
Argentina,Georgia,0,Argentina,Georgia,14
Argentina,Germany,6916667.126,Argentina,Germany,20566
Argentina,Greece,386437.2296,Argentina,Greece,652
Argentina,Guatemala,343851.0453,Argentina,Guatemala,595
Argentina,Guinea,0,Argentina,Guinea,105
Argentina,Haiti,604344.2615,Argentina,Haiti,456
Argentina,Honduras,89218.92653,Argentina,Honduras,194
Argentina,Hungary,238765.2918,Argentina,Hungary,432
Argentina,Iceland,24192.4428,Argentina,Iceland,83
Argentina,Ireland,529903.3723,Argentina,Ireland,374
Argentina,Israel,28142262.19,Argentina,Israel,38204
Argentina,Italy,59578168.52,Argentina,Italy,72321
Argentina,Japan,3225798.628,Argentina,Japan,3629
Argentina,Latvia,12839.06979,Argentina,Latvia,22
Argentina,Liechtenstein,0,Argentina,Liechtenstein,24
Argentina,Lithuania,53960.63566,Argentina,Lithuania,65
Argentina,Luxembourg,32481.63515,Argentina,Luxembourg,407
Argentina,Malta,13287.20555,Argentina,Malta,28
Argentina,Mauritania,95731.25694,Argentina,Mauritania,71
Argentina,Mexico,10254315.45,Argentina,Mexico,16688
Argentina,Namibia,0,Argentina,Namibia,50
Argentina,Netherlands,2173978.478,Argentina,Netherlands,4371
Argentina,New Zealand,1199625.22,Argentina,New Zealand,4136
Argentina,Nicaragua,181042.7852,Argentina,Nicaragua,281
Argentina,Norway,769139.1528,Argentina,Norway,1246
Argentina,Panama,1442616.415,Argentina,Panama,3062
Argentina,Paraguay,49440961.19,Argentina,Paraguay,61833
Argentina,Peru,8595624.9,Argentina,Peru,26854
Argentina,Philippines,97684.95606,Argentina,Philippines,155
Argentina,Poland,198539.1674,Argentina,Poland,357
Argentina,Portugal,936300.7854,Argentina,Portugal,1512
Argentina,Puerto Rico,876427.295,Argentina,Puerto Rico,828
Argentina,Romania,7329.823248,Argentina,Romania,337
Argentina,Russian Federation,162256.9114,Argentina,Russian Federation,250
Argentina,San Marino,53926.16946,Argentina,San Marino,90
Argentina,Serbia,69030.70228,Argentina,Serbia,48
Argentina,Slovakia,54173.17133,Argentina,Slovakia,90
Argentina,Slovenia,3499758.762,Argentina,Slovenia,435
Argentina,South Africa,1441178.718,Argentina,South Africa,2854
Argentina,Spain,189258314.2,Argentina,Spain,284921
Argentina,Sweden,2220246.879,Argentina,Sweden,3503
Argentina,Switzerland,6573878.315,Argentina,Switzerland,9509
Argentina,Turkey,139952.9695,Argentina,Turkey,190
Argentina,United States of America,135089797.3,Argentina,United States of America,219448
Argentina,Uruguay,17668230.87,Argentina,Uruguay,33022
Argentina,Venezuela (Bolivarian Republic of),5279546.258,Argentina,Venezuela (Bolivarian Republic of),9374
Armenia,Argentina,1761120.255,Armenia,Argentina,565
Armenia,Australia,2731814.039,Armenia,Australia,1658
Armenia,Austria,6605465.903,Armenia,Austria,3433
Armenia,Azerbaijan,6812742.44,Armenia,Azerbaijan,141756
Armenia,Belarus,10620184.23,Armenia,Belarus,5643
Armenia,Belgium,13327967.64,Armenia,Belgium,1834
Armenia,Bolivia (Plurinational State of),5045.865807,Armenia,Bolivia (Plurinational State of),5
Armenia,Brazil,97541.38509,Armenia,Brazil,65
Armenia,Bulgaria,2899004.257,Armenia,Bulgaria,1802
Armenia,Canada,5762522.7,Armenia,Canada,4484
Armenia,Costa Rica,12747.88616,Armenia,Costa Rica,8
Armenia,Cyprus,2799699.564,Armenia,Cyprus,1166
Armenia,Denmark,1485602.948,Armenia,Denmark,733
Armenia,Ecuador,97401.21537,Armenia,Ecuador,38
Armenia,Egypt,184454.4813,Armenia,Egypt,160
Armenia,Estonia,1247069.957,Armenia,Estonia,746
Armenia,Finland,196014.7527,Armenia,Finland,115
Armenia,France,37720805.89,Armenia,France,21830
Armenia,Georgia,3786377.582,Armenia,Georgia,12789
Armenia,Germany,31127375.78,Armenia,Germany,25512
Armenia,Greece,15333686.34,Armenia,Greece,14571
Armenia,Guinea,0,Armenia,Guinea,7
Armenia,Hungary,445912.7015,Armenia,Hungary,225
Armenia,Iceland,13468.60858,Armenia,Iceland,10
Armenia,Iran (Islamic Republic of),4508885.272,Armenia,Iran (Islamic Republic of),989
Armenia,Ireland,324720.7749,Armenia,Ireland,59
Armenia,Italy,2116529.174,Armenia,Italy,1847
Armenia,Jordan,38684.97118,Armenia,Jordan,25
Armenia,Kazakhstan,16169862.14,Armenia,Kazakhstan,9622
Armenia,Kyrgyzstan,4447089.731,Armenia,Kyrgyzstan,2315
Armenia,Latvia,1810272.773,Armenia,Latvia,708
Armenia,Libya,459893.6589,Armenia,Libya,270
Armenia,Liechtenstein,0,Armenia,Liechtenstein,9
Armenia,Lithuania,1625409.603,Armenia,Lithuania,427
Armenia,Luxembourg,17206.29558,Armenia,Luxembourg,120
Armenia,Malta,58030.71737,Armenia,Malta,81
Armenia,Mexico,203597.325,Armenia,Mexico,108
Armenia,Namibia,0,Armenia,Namibia,64
Armenia,Netherlands,1738833.397,Armenia,Netherlands,952
Armenia,Norway,673764.1588,Armenia,Norway,333
Armenia,Philippines,231019.2118,Armenia,Philippines,143
Armenia,Poland,4443389.33,Armenia,Poland,2775
Armenia,Portugal,210824.559,Armenia,Portugal,112
Armenia,Romania,26905.75986,Armenia,Romania,163
Armenia,Russian Federation,978658176.4,Armenia,Russian Federation,526997
Armenia,Serbia,0,Armenia,Serbia,159
Armenia,Slovakia,234809.7475,Armenia,Slovakia,169
Armenia,Slovenia,22385.86593,Armenia,Slovenia,17
Armenia,Spain,21520786.78,Armenia,Spain,12845
Armenia,Sweden,5093650.767,Armenia,Sweden,3233
Armenia,Switzerland,1717870.926,Armenia,Switzerland,1133
Armenia,Tajikistan,277522.6194,Armenia,Tajikistan,193
Armenia,Turkey,2279585.062,Armenia,Turkey,1090
Armenia,Turkmenistan,4763755.533,Armenia,Turkmenistan,7058
Armenia,Ukraine,83865653.61,Armenia,Ukraine,48097
Armenia,United States of America,212932475.5,Armenia,United States of America,87494
Armenia,Uzbekistan,28369539.52,Armenia,Uzbekistan,5824
Armenia,Venezuela (Bolivarian Republic of),51579.08478,Armenia,Venezuela (Bolivarian Republic of),31
Aruba,Netherlands,1856688.206,Aruba,Netherlands,5554
Aruba,Norway,8705.092924,Aruba,Norway,16
Aruba,Philippines,32310.69154,Aruba,Philippines,65
Aruba,Saint Lucia,9087.381995,Aruba,Saint Lucia,27
Aruba,Sint Maarten (Dutch part),642679.8489,Aruba,Sint Maarten (Dutch part),1358
Aruba,Slovakia,0,Aruba,Slovakia,1
Aruba,Slovenia,5600.899229,Aruba,Slovenia,
Aruba,United States Virgin Islands,304382.4637,Aruba,United States Virgin Islands,500
Aruba,United States of America,2944889.401,Aruba,United States of America,9576
Aruba,Venezuela (Bolivarian Republic of),199922.4039,Aruba,Venezuela (Bolivarian Republic of),457
Aruba,Antigua and Barbuda,2524.272776,Aruba,Antigua and Barbuda,4
Aruba,Argentina,0,Aruba,Argentina,1
Aruba,Australia,21626.72147,Aruba,Australia,75
Aruba,Austria,0,Aruba,Austria,1
Aruba,Bolivia (Plurinational State of),504.8545553,Aruba,Bolivia (Plurinational State of),2
Aruba,Bulgaria,2524.272776,Aruba,Bulgaria,3
Aruba,Canada,358293.1413,Aruba,Canada,617
